<<<<<<< HEAD
id;usuario_id;sesion_id;token;fecha_hora_inicio;fecha_hora_fin;ip;;;
1;1;1123;ASD123DQWD1213;10/10/2000;14/10/2000;199.225.0.6;;;
2;1;1124;SDAFASDF52FQAW;15/10/2000;16/10/2000;199.225.0.7;;;
3;2;1125;DASDASDE123DGF;02/09/2023;05/09/2023;169.255.1.2;;;
4;2;1126;FASDSADGVXC334;29/09/2023;30/09/2023;169.255.0.3;;;
5;2;1127;34G3FDRTWRWFF;02/10/2023;04/10/2023;169.255.1.2;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
=======
id;usuario_id;sesion_id;token;fecha_hora_inicio;fecha_hora_fin;ip;;;
1;1;1123;ASD123DQWD1213;10/10/2000;14/10/2000;199.225.0.6;;;
2;1;1124;SDAFASDF52FQAW;15/10/2000;16/10/2000;199.225.0.7;;;
3;2;1125;DASDASDE123DGF;02/09/2023;05/09/2023;169.255.1.2;;;
4;2;1126;FASDSADGVXC334;29/09/2023;30/09/2023;169.255.0.3;;;
5;2;1127;34G3FDRTWRWFF;02/10/2023;04/10/2023;169.255.1.2;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
>>>>>>> 5131af5926f15f8f365b1ed53eb80a317294162c
